"","Posterior Mean","Lower CI","Upper CI"
"incomeK_2",-0.103365912855958,-0.193908423946642,-0.00113272875305459
"incomeL_2",0.0567759341914527,-0.030051972274877,0.137791977808528
"incomeM_2",0.0807422238993073,-0.00147060867557259,0.161524489880591
"incomeN_2",0.114732971448873,0.0568655780339629,0.179433344841168
"incomeO_2",-0.202557005504488,-0.261289328137033,-0.137136924355337
"incomeP_2",0.0990946276019525,0.0232607312323923,0.172553095054945
"incomeQ_2",-0.126560005704962,-0.212990092621564,-0.0278204410946163
"incomeR_2",0.0160752194572895,-0.061483211279319,0.0749144204159302
"clust2_2",-1.68309038426207,-2.01861094345369,-1.30418207126988
"clust3_2",-0.93295614733657,-1.25082798864265,-0.562829925732758
"clust4_2",-0.677311775858335,-0.900583824165992,-0.467933069044633
"clust5_2",-0.528008708827363,-0.977422606043231,0.00621805207646648
"clust2_comp1_2",0.759281073713584,0.429331516491145,1.03882563314448
"clust3_comp1_2",0.468513190043534,0.315179099339258,0.61884695000373
"clust4_comp1_2",0.69937980501153,0.571285999622796,0.829067421489591
"clust5_comp1_2",0.499035458160246,0.175223112947524,0.770597417236026
"clust2_comp2_2",0.577404996158713,0.272587459654666,0.908015565434189
"clust3_comp2_2",0.504280040152295,0.380371154150335,0.637537292017191
"clust4_comp2_2",0.573759649006456,0.44476820925839,0.695954328423016
"clust5_comp2_2",0.331376662153009,0.0334265751060425,0.57892141934844
"clust2_comp3_2",-0.108751154347881,-0.296743184786025,0.106368411735008
"clust3_comp3_2",-0.169687016118775,-0.257573549798795,-0.0843393301731059
"clust4_comp3_2",-0.0991288656940379,-0.174472317468883,-0.0236186119322784
"clust5_comp3_2",-0.0404345338573034,-0.224115800678302,0.220275364093234
"clust2_comp4_2",0.614262653888439,0.419942033978109,0.779835534059475
"clust3_comp4_2",0.57177795497926,0.420731431620282,0.687133141650779
"clust4_comp4_2",0.560053771935687,0.472557509919038,0.657166696872684
"clust5_comp4_2",0.351135547987739,0.083603770543512,0.5814267625878
"clust2_comp5_2",1.41010578718862,1.0659029966719,1.73799052338313
"clust3_comp5_2",1.25563683317614,1.02724412676243,1.48497830671695
"clust4_comp5_2",1.26972590473998,1.12802857967803,1.42157995281458
"clust5_comp5_2",0.843885043726744,0.339589181268459,1.31794899537615
"clust2_comp6_2",1.51054951426814,1.18865910991434,1.85196969060714
"clust3_comp6_2",1.44331448200523,1.16519463858874,1.66221671675125
"clust4_comp6_2",1.40106120210572,1.25007854901528,1.5571484814049
"clust5_comp6_2",1.13327900763765,0.644213603747714,1.46117433733019
"clust2_comp7_2",0.771010351423831,0.437980986045783,1.09146793262023
"clust3_comp7_2",0.755885622162083,0.561200385272236,0.908088234918079
"clust4_comp7_2",0.80884419810414,0.687158521064694,0.958582095020274
"clust5_comp7_2",0.643199197452902,0.294734683928051,0.886831572021011
"clust2_comp8_2",-0.0870768286103125,-0.314954343928456,0.169726772559626
"clust3_comp8_2",-0.0138538613500422,-0.117087419027986,0.092354928578276
"clust4_comp8_2",0.145747829026986,0.0735537416146529,0.231745531664916
"clust5_comp8_2",0.0696550404711412,-0.14894450006449,0.281722422003671
"clust2_comp9_2",1.10921499093081,0.769997104696797,1.44387832128445
"clust3_comp9_2",0.789080823843961,0.616208826685347,0.97803240068817
"clust4_comp9_2",0.702374681806172,0.58583494737911,0.827076931487915
"clust5_comp9_2",0.608401650874761,0.311512920643647,0.93024902093951
"adstock_2",0.224770149176635,0.203519650670688,0.247751877504063
"pur_eng_2",0.468599452854034,0.424411054729194,0.517140033436387
"dyn_eng_2",-0.808136029063641,-0.833865630410171,-0.787346882353073
"rho_eta",0.8,0.8,0.8
"rho_zeta",0.8,0.8,0.8
