"","Posterior Mean","Lower CI","Upper CI"
"camp_no14_2",0.525054644309961,0.371297945880162,0.684319383731189
"camp_no15_2",0.722868496971914,0.482510475042221,1.01379187363439
"camp_no23_2",0.288961697497883,0.0989605072899676,0.444800601619391
"camp_no25_2",0.611532911535818,0.462148543342362,0.769123965287846
"camp_no26_2",0.387825622231284,0.23164463844191,0.5321757839837
"camp_no28_2",1.05304334717146,0.849564893875151,1.21484047470787
"camp_no31_2",-0.410768220712643,-0.665980278615292,-0.209214153737759
"camp_no34_2",0.430661988157883,0.246914545753912,0.58434632658464
"camp_no35_2",0.0466759848568299,-0.0779838885542529,0.194166629335071
"camp_no36_2",0.224563912908698,0.0177632707709536,0.440052465274213
"camp_no43_2",-1.54770841718624,-1.75889467194537,-1.29455434368887
"camp_no44_2",0.734529497914235,0.566325026814597,0.877065163950998
"camp_no45_2",0.740342562568223,0.557441362900686,0.897444634019985
"camp_no46_2",0.398951215485183,0.210738229926978,0.538670176503449
"camp_no50_2",0.191902850942009,0.00232743647341478,0.365770097297707
"camp_no51_2",-2.0107864103445,-2.24949533020876,-1.66848452270654
"camp_no52_2",-0.0281681138466676,-0.228765291706708,0.148302850787791
"clust2_comp1_2",0.354077567995081,-0.100896459373032,0.742441632097417
"clust3_comp1_2",-0.0138845347219422,-0.277890080935713,0.199072056794947
"clust4_comp1_2",0.314945302538479,0.129976716029472,0.528567072712085
"clust5_comp1_2",0.110637171290852,-0.272349633011374,0.467791454791931
"clust2_comp2_2",0.051392704218359,-0.372856550421663,0.429678350396042
"clust3_comp2_2",-0.0381131260458387,-0.212210778411403,0.132575401003285
"clust4_comp2_2",0.131231953376302,-0.0516887872250861,0.304769125783952
"clust5_comp2_2",-0.135805289681916,-0.397472306836757,0.226345576222375
"clust2_comp3_2",-0.11891575045008,-0.358032770217224,0.104179454935256
"clust3_comp3_2",-0.120616519417128,-0.263514068835036,0.00307117089560947
"clust4_comp3_2",-0.0752024632452323,-0.22382409832196,0.0696296192719168
"clust5_comp3_2",0.0406550793140807,-0.266715568491612,0.297067775604198
"clust2_comp4_2",-0.0758753109748175,-0.396992685786112,0.196095946025696
"clust3_comp4_2",0.00633055984405409,-0.183784754432974,0.177316513402234
"clust4_comp4_2",0.0131443018621517,-0.133518890059632,0.177448003269528
"clust5_comp4_2",-0.135054160290138,-0.397994560558601,0.164393192744357
"clust2_comp5_2",0.0227657366552584,-0.50050505964211,0.503087384518827
"clust3_comp5_2",-0.0595712083310167,-0.34696760055226,0.232514105008348
"clust4_comp5_2",0.0845695304054448,-0.145206525633348,0.343775533304637
"clust5_comp5_2",-0.344008632772376,-0.806392245938857,0.140310969412974
"clust2_comp6_2",0.124891751821822,-0.427016368225356,0.676785962838858
"clust3_comp6_2",0.104732556744578,-0.160480031075344,0.365233055208505
"clust4_comp6_2",0.197237703063402,-0.108769834535946,0.482283993447886
"clust5_comp6_2",-0.0700745647275337,-0.490049091489561,0.388662951584285
"clust2_comp7_2",0.0776229462409104,-0.478522337804373,0.569048930871303
"clust3_comp7_2",0.0353273809671565,-0.171459865832495,0.242821411170449
"clust4_comp7_2",0.214486243689523,-0.0193240464442272,0.463661615358072
"clust5_comp7_2",0.00349084086556383,-0.325850869377304,0.432339304312832
"clust2_comp8_2",-0.0405463290572671,-0.369075903111044,0.242791141921475
"clust3_comp8_2",-0.0847110138243652,-0.280473008721352,0.0719757168907352
"clust4_comp8_2",0.13368543276554,-0.0174918615058851,0.245882746164988
"clust5_comp8_2",-0.0184663341787679,-0.248514194761522,0.192171616334698
"clust2_comp9_2",0.306994253963474,-0.0922997604137382,0.72173923336532
"clust3_comp9_2",0.00220510877519399,-0.226522297999366,0.18126540931124
"clust4_comp9_2",-0.0169081946650488,-0.227814572609768,0.170088058458226
"clust5_comp9_2",-0.138386458764435,-0.517334227068283,0.276530256081254
"adstock_2",0.26447593677556,0.227214072974051,0.305321549729255
"pur_eng_2",0.519129543931682,0.471861638386151,0.564132657446726
"dyn_eng_2",-0.827550100018155,-0.846959769493271,-0.804118696532316
"rho_eta",0.8,0.8,0.8
"rho_zeta",0.8,0.8,0.8
